X(m),Y(m),GravityAnomaly(mGal)
3.214285714285714675e+03,7.142857142857143344e+02,-4.767761881235569099e+00
3.214285714285714675e+03,1.071428571428571558e+03,-6.294061865157954294e+00
3.214285714285714675e+03,1.428571428571428669e+03,-7.189555316020359577e+00
3.214285714285714675e+03,1.785714285714285779e+03,-7.620540950190921592e+00
3.214285714285714675e+03,2.142857142857143117e+03,-7.852419147750149264e+00
3.214285714285714675e+03,2.500000000000000000e+03,-7.886076999693066192e+00
3.214285714285714675e+03,2.857142857142857338e+03,-7.888187967969786385e+00
3.214285714285714675e+03,3.214285714285714675e+03,-7.681694826425403022e+00
3.214285714285714675e+03,3.571428571428571558e+03,-7.206967850271120746e+00
3.214285714285714675e+03,3.928571428571428896e+03,-6.307466403178747072e+00
3.214285714285714675e+03,4.285714285714286234e+03,-4.754902924138551867e+00
3.214285714285714675e+03,4.642857142857143117e+03,-2.463359656248502727e+00
3.214285714285714675e+03,5.000000000000000000e+03,-8.844744837352813693e-02
3.571428571428571558e+03,0.000000000000000000e+00,-1.816229412243998420e-02
3.571428571428571558e+03,3.571428571428571672e+02,-1.168349389077880440e+00
3.571428571428571558e+03,7.142857142857143344e+02,-3.773413536904963284e+00
3.571428571428571558e+03,1.071428571428571558e+03,-5.475323086263851557e+00
3.571428571428571558e+03,1.428571428571428669e+03,-6.595729597831573976e+00
3.571428571428571558e+03,1.785714285714285779e+03,-7.281058950618046310e+00
3.571428571428571558e+03,2.142857142857143117e+03,-7.498321606077611001e+00
3.571428571428571558e+03,2.500000000000000000e+03,-7.598169018210807479e+00
3.571428571428571558e+03,2.857142857142857338e+03,-7.516119620204916529e+00
3.571428571428571558e+03,3.214285714285714675e+03,-7.232790100800228217e+00
3.571428571428571558e+03,3.571428571428571558e+03,-6.613281439987265919e+00
3.571428571428571558e+03,3.928571428571428896e+03,-5.520654079861879282e+00
3.571428571428571558e+03,4.285714285714286234e+03,-3.806020941673730729e+00
3.571428571428571558e+03,4.642857142857143117e+03,-1.247225482245901018e+00
3.571428571428571558e+03,5.000000000000000000e+03,-8.020895000899819216e-02
3.928571428571428896e+03,0.000000000000000000e+00,-4.194211505635885018e-02
3.928571428571428896e+03,3.571428571428571672e+02,-1.805428054621049383e-01
3.928571428571428896e+03,7.142857142857143344e+02,-2.242500597744447433e+00
3.928571428571428896e+03,1.071428571428571558e+03,-4.157229945465748422e+00
3.928571428571428896e+03,1.428571428571428669e+03,-5.512787097219622012e+00
3.928571428571428896e+03,1.785714285714285779e+03,-6.273957645939138850e+00
3.928571428571428896e+03,2.142857142857143117e+03,-6.769352976372045916e+00
3.928571428571428896e+03,2.500000000000000000e+03,-6.877816271240974721e+00
3.928571428571428896e+03,2.857142857142857338e+03,-6.766385654452173881e+00
3.928571428571428896e+03,3.214285714285714675e+03,-6.233601505073883331e+00
3.928571428571428896e+03,3.571428571428571558e+03,-5.493111059386187378e+00
3.928571428571428896e+03,3.928571428571428896e+03,-4.157641361544318848e+00
3.928571428571428896e+03,4.285714285714286234e+03,-2.214027671987924606e+00
3.928571428571428896e+03,4.642857142857143117e+03,-1.289617444923761569e-01
3.928571428571428896e+03,5.000000000000000000e+03,1.887620998098180070e-03
4.285714285714286234e+03,0.000000000000000000e+00,-1.964554734433526101e-02
4.285714285714286234e+03,3.571428571428571672e+02,-8.196370192073348937e-02
4.285714285714286234e+03,7.142857142857143344e+02,-4.393514482713972713e-01
4.285714285714286234e+03,1.071428571428571558e+03,-2.231729212095186377e+00
4.285714285714286234e+03,1.428571428571428669e+03,-3.838986844860061698e+00
4.285714285714286234e+03,1.785714285714285779e+03,-4.809069100756786952e+00
4.285714285714286234e+03,2.142857142857143117e+03,-5.361283351375663031e+00
4.285714285714286234e+03,2.500000000000000000e+03,-5.452422315299356725e+00
4.285714285714286234e+03,2.857142857142857338e+03,-5.348848449707436004e+00
4.285714285714286234e+03,3.214285714285714675e+03,-4.793187574388498184e+00
4.285714285714286234e+03,3.571428571428571558e+03,-3.779208778096714738e+00
4.285714285714286234e+03,3.928571428571428896e+03,-2.238361104166610271e+00
4.285714285714286234e+03,4.285714285714286234e+03,-3.925818829618419881e-01
4.285714285714286234e+03,4.642857142857143117e+03,-7.258493806346577593e-02
4.285714285714286234e+03,5.000000000000000000e+03,-3.220062044321327088e-02
4.642857142857143117e+03,0.000000000000000000e+00,-9.323400621123141552e-02
4.642857142857143117e+03,3.571428571428571672e+02,-3.733631714321727912e-02
4.642857142857143117e+03,7.142857142857143344e+02,-6.100558430183009723e-02
4.642857142857143117e+03,1.071428571428571558e+03,-1.363543480438125788e-01
4.642857142857143117e+03,1.428571428571428669e+03,-1.235584575876160995e+00
4.642857142857143117e+03,1.785714285714285779e+03,-2.494697108490034676e+00
4.642857142857143117e+03,2.142857142857143117e+03,-3.094092676927203911e+00
4.642857142857143117e+03,2.500000000000000000e+03,-3.310303739732308959e+00
4.642857142857143117e+03,2.857142857142857338e+03,-3.103398996805284416e+00
4.642857142857143117e+03,3.214285714285714675e+03,-2.550417833587707683e+00
4.642857142857143117e+03,3.571428571428571558e+03,-1.218003861601898219e+00
4.642857142857143117e+03,3.928571428571428896e+03,-1.177884310962240832e-01
4.642857142857143117e+03,4.285714285714286234e+03,-8.472373418683032398e-02
4.642857142857143117e+03,4.642857142857143117e+03,-5.271718115726070630e-02
4.642857142857143117e+03,5.000000000000000000e+03,-9.446459816078756067e-02
5.000000000000000000e+03,0.000000000000000000e+00,-2.561168333430359142e-02
5.000000000000000000e+03,3.571428571428571672e+02,-2.945855340450741211e-02
5.000000000000000000e+03,7.142857142857143344e+02,-6.380545228779224698e-02
5.000000000000000000e+03,1.071428571428571558e+03,-8.221665734133948300e-02
5.000000000000000000e+03,1.428571428571428669e+03,-4.722585291096363658e-02
5.000000000000000000e+03,1.785714285714285779e+03,-9.081152586979876484e-02
5.000000000000000000e+03,2.142857142857143117e+03,-2.684843834427388387e-01
5.000000000000000000e+03,2.500000000000000000e+03,-4.047526325798682656e-01
5.000000000000000000e+03,2.857142857142857338e+03,-2.593267666107178515e-01
5.000000000000000000e+03,3.214285714285714675e+03,-1.316734487002986509e-01
5.000000000000000000e+03,3.571428571428571558e+03,-9.385684223531438886e-02
5.000000000000000000e+03,3.928571428571428896e+03,-7.023682566413849693e-02
5.000000000000000000e+03,4.285714285714286234e+03,-7.425264799635017399e-02
5.000000000000000000e+03,4.642857142857143117e+03,1.734361797311736661e-02
5.000000000000000000e+03,5.000000000000000000e+03,-3.211922551357401096e-02
