x,y,gz_obs
-1144.0677966101694,-435.8974358974359,0.0019152154243178988
-1144.0677966101694,-384.6153846153845,0.001475453728327214
-1144.0677966101694,-333.33333333333326,0.0014031705538774502
-1144.0677966101694,-282.051282051282,0.0009998184604909446
-1144.0677966101694,-230.76923076923072,0.000539470915564077
-1144.0677966101694,-179.48717948717945,0.0006612819121107964
-1144.0677966101694,-128.20512820512818,0.0003983222612422368
-1144.0677966101694,-76.9230769230769,0.0004052102842140599
-1144.0677966101694,-25.641025641025635,0.00032231609673558846
-1144.0677966101694,25.641025641025635,3.0591326166452766e-05
-1144.0677966101694,76.9230769230769,0.00013060165240685433
-1144.0677966101694,128.20512820512818,0.0004863210780915716
-1144.0677966101694,179.48717948717945,0.0006034359901108463
-1144.0677966101694,230.76923076923094,0.0006738725158233959
-1144.0677966101694,282.0512820512822,0.0009518808399597207
-1144.0677966101694,333.3333333333335,0.001488783113630953
-1144.0677966101694,384.61538461538476,0.00147501240194886
-1144.0677966101694,435.897435897436,0.0021232350874836638
-1144.0677966101694,487.1794871794873,0.0024690324503300392
-1144.0677966101694,538.4615384615386,0.003062761184325328
-1144.0677966101694,589.7435897435898,0.004032159143109265
-1144.0677966101694,641.0256410256411,0.004675965086099996
-1144.0677966101694,692.3076923076924,0.005216940113237579
-1144.0677966101694,743.5897435897436,0.005859121018345058
-1144.0677966101694,794.8717948717949,0.006806999403888266
-1144.0677966101694,846.1538461538462,0.008071834845794526
-1144.0677966101694,897.4358974358975,0.007626272222610831
-1144.0677966101694,948.7179487179487,0.006474621502604684
-1144.0677966101694,1000.0,0.0036005435481253254
-1093.2203389830509,-1000.0,0.0036495741989375076
-1093.2203389830509,-948.7179487179487,0.006545156968281105
-1093.2203389830509,-897.4358974358975,0.007540930496940507
-1093.2203389830509,-846.1538461538462,0.008325213557328395
-1093.2203389830509,-794.8717948717949,0.006457537142659221
-1093.2203389830509,-743.5897435897436,0.0051351006722387075
-1093.2203389830509,-692.3076923076923,0.0050223759797941225
-1093.2203389830509,-641.025641025641,0.004313853781240472
-1093.2203389830509,-589.7435897435897,0.0035668442744748305
-1093.2203389830509,-538.4615384615385,0.0028966570017426394
-1093.2203389830509,-487.1794871794872,0.0021833315713905587
-1093.2203389830509,-435.8974358974359,0.0015064515782676087
-1093.2203389830509,-384.6153846153845,0.0012763577781887147
-1093.2203389830509,-333.33333333333326,0.0007670460219221813
-1093.2203389830509,-282.051282051282,0.0007991879949264127
-1093.2203389830509,-230.76923076923072,0.00033315340673126004
-1093.2203389830509,-179.48717948717945,9.272996961013014e-06
-1093.2203389830509,-128.20512820512818,-2.768659211886046e-05
-1093.2203389830509,-76.9230769230769,2.92188192846627e-05
-1093.2203389830509,-25.641025641025635,-0.0002104175405734994
-1093.2203389830509,25.641025641025635,-0.00026211670912600847
-1093.2203389830509,76.9230769230769,-4.630029272073895e-06
-1093.2203389830509,128.20512820512818,8.558389043346814e-05
-1093.2203389830509,179.48717948717945,7.298380124530645e-05
-1093.2203389830509,230.76923076923094,0.00026835722190800287
-1093.2203389830509,282.0512820512822,0.0006505740357143853
-1093.2203389830509,333.3333333333335,0.000612861495925152
-1093.2203389830509,384.61538461538476,0.000979704111674667
-1093.2203389830509,435.897435897436,0.0015422136083142908
-1093.2203389830509,487.1794871794873,0.002143091495617576
