X(m),Y(m),GravityAnomaly(mGal)
1.034482758620689765e+03,3.275862068965517210e+03,-6.102043046122832770e+00
1.034482758620689765e+03,3.448275862068965580e+03,-5.686636623090612019e+00
1.034482758620689765e+03,3.620689655172413950e+03,-5.281997517389888763e+00
1.034482758620689765e+03,3.793103448275862320e+03,-4.656061645246219349e+00
1.034482758620689765e+03,3.965517241379310690e+03,-3.853800518208234216e+00
1.034482758620689765e+03,4.137931034482759060e+03,-2.938898371178725544e+00
1.034482758620689765e+03,4.310344827586207430e+03,-1.854607081630148313e+00
1.034482758620689765e+03,4.482758620689655800e+03,-8.496033501341275773e-01
1.034482758620689765e+03,4.655172413793103260e+03,-1.130573026296117223e-01
1.034482758620689765e+03,4.827586206896551630e+03,-8.570326740690914491e-02
1.034482758620689765e+03,5.000000000000000000e+03,-1.755093110039388643e-02
1.206896551724137908e+03,0.000000000000000000e+00,-7.105723728075401258e-02
1.206896551724137908e+03,1.724137931034482847e+02,-9.463221011023498219e-02
1.206896551724137908e+03,3.448275862068965694e+02,-4.241238290280697765e-01
1.206896551724137908e+03,5.172413793103448825e+02,-1.649653980697732392e+00
1.206896551724137908e+03,6.896551724137931387e+02,-2.705026164713407066e+00
1.206896551724137908e+03,8.620689655172413950e+02,-3.741226743106789154e+00
1.206896551724137908e+03,1.034482758620689765e+03,-4.569348843681673600e+00
1.206896551724137908e+03,1.206896551724137908e+03,-5.314914486547004380e+00
1.206896551724137908e+03,1.379310344827586277e+03,-5.830823688821602957e+00
1.206896551724137908e+03,1.551724137931034647e+03,-6.254853988732859804e+00
1.206896551724137908e+03,1.724137931034482790e+03,-6.612034325984120997e+00
1.206896551724137908e+03,1.896551724137931160e+03,-6.848400838855071449e+00
1.206896551724137908e+03,2.068965517241379530e+03,-7.001138191916005837e+00
1.206896551724137908e+03,2.241379310344827900e+03,-7.134162231374719276e+00
1.206896551724137908e+03,2.413793103448275815e+03,-7.187836774309499965e+00
1.206896551724137908e+03,2.586206896551724185e+03,-7.147967986741559088e+00
1.206896551724137908e+03,2.758620689655172555e+03,-7.127396722074793800e+00
1.206896551724137908e+03,2.931034482758620925e+03,-7.060765069121298865e+00
1.206896551724137908e+03,3.103448275862069295e+03,-6.852025065944274296e+00
1.206896551724137908e+03,3.275862068965517210e+03,-6.679467118555253435e+00
1.206896551724137908e+03,3.448275862068965580e+03,-6.298692336863155106e+00
1.206896551724137908e+03,3.620689655172413950e+03,-5.888687728601893490e+00
1.206896551724137908e+03,3.793103448275862320e+03,-5.289519390279059152e+00
1.206896551724137908e+03,3.965517241379310690e+03,-4.705242298820380142e+00
1.206896551724137908e+03,4.137931034482759060e+03,-3.759003517226321645e+00
1.206896551724137908e+03,4.310344827586207430e+03,-2.708986478918856466e+00
1.206896551724137908e+03,4.482758620689655800e+03,-1.639253714751945035e+00
1.206896551724137908e+03,4.655172413793103260e+03,-3.697537183011636031e-01
1.206896551724137908e+03,4.827586206896551630e+03,-1.220357015638596082e-01
1.206896551724137908e+03,5.000000000000000000e+03,-1.444542467929799123e-02
1.379310344827586277e+03,0.000000000000000000e+00,-5.352244387278379256e-02
1.379310344827586277e+03,1.724137931034482847e+02,-1.418123752397531523e-01
1.379310344827586277e+03,3.448275862068965694e+02,-7.947825871633951156e-01
1.379310344827586277e+03,5.172413793103448825e+02,-2.368414692081265205e+00
1.379310344827586277e+03,6.896551724137931387e+02,-3.389566543969820156e+00
1.379310344827586277e+03,8.620689655172413950e+02,-4.450665823270004928e+00
1.379310344827586277e+03,1.034482758620689765e+03,-5.220832202486461959e+00
1.379310344827586277e+03,1.206896551724137908e+03,-5.830090121448249008e+00
1.379310344827586277e+03,1.379310344827586277e+03,-6.381486365510093961e+00
1.379310344827586277e+03,1.551724137931034647e+03,-6.714981593976758312e+00
1.379310344827586277e+03,1.724137931034482790e+03,-7.084732982530886680e+00
1.379310344827586277e+03,1.896551724137931160e+03,-7.248079147738953232e+00
1.379310344827586277e+03,2.068965517241379530e+03,-7.382802323224598950e+00
1.379310344827586277e+03,2.241379310344827900e+03,-7.441616885499040102e+00
1.379310344827586277e+03,2.413793103448275815e+03,-7.468143000529867237e+00
1.379310344827586277e+03,2.586206896551724185e+03,-7.515434968678759375e+00
1.379310344827586277e+03,2.758620689655172555e+03,-7.484783467976315663e+00
1.379310344827586277e+03,2.931034482758620925e+03,-7.365870332016659638e+00
1.379310344827586277e+03,3.103448275862069295e+03,-7.280083191523365471e+00
1.379310344827586277e+03,3.275862068965517210e+03,-6.993393583251996226e+00
1.379310344827586277e+03,3.448275862068965580e+03,-6.755445188943196122e+00
1.379310344827586277e+03,3.620689655172413950e+03,-6.394334543484252009e+00
1.379310344827586277e+03,3.793103448275862320e+03,-5.835284387063128797e+00
1.379310344827586277e+03,3.965517241379310690e+03,-5.206359696079259969e+00
1.379310344827586277e+03,4.137931034482759060e+03,-4.384070268919688651e+00
1.379310344827586277e+03,4.310344827586207430e+03,-3.436760693100746611e+00
